year,title,genres,boxOffice,rank,category,winner
2010,In the Air,"Drama,Romance",97235121,35,Best Directing,false
2010,Precious,"Drama",54978966,61,Best Directing,false
2010,Inglourious Basterds,"Adventure,Drama,War",139827234,23,Best Directing,false
2010,The Hurt Locker,"Drama,Thriller,War",19740660,124,Best Original Screenplay,true
2010,A Serious Man,"Comedy,Drama",10661009,140,Best Original Screenplay,false
2010,Inglourious Basterds,"Adventure,Drama,War",139827234,23,Best Original Screenplay,false
2010,Up,"Animation,Adventure,Comedy",339884830,5,Best Original Screenplay,false
2010,The Messenger,"Drama,Romance,War",77298,306,Best Original Screenplay,false
2010,Precious,"Drama",54978966,61,Best Adapted Screenplay,true
2010,District 9,"Sci-Fi,Thriller",134149632,25,Best Adapted Screenplay,false
2010,Up in the Air,"Drama,Romance",97235121,35,Best Adapted Screenplay,false
2010,In the Loop,"Comedy",2765491,175,Best Adapted Screenplay,false
2010,An Education,"Drama",14586669,127,Best Adapted Screenplay,false
2010,Avatar,"Action,Adventure,Fantasy",882188844,1,Best Cinematography,true
2010,The Hurt Locker,"Drama,Thriller,War",19740660,124,Best Cinematography,false
2010,Harry Potter and the Half-Blood Prince,"Adventure,Family,Fantasy",350272668,3,Best Cinematography,false
